City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bairiki Village,1.33,172.98,82.4,69,20,9.17,KI,1600357543
Hobyo,5.35,48.53,77.77,83,0,25.66,SO,1600357543
Puerto Madero,14.72,-92.42,84.2,83,20,1.57,MX,1600357543
Jinchang,38.5,102.17,62.26,28,0,3.11,CN,1600357543
Carutapera,-1.2,-46.02,85.57,64,96,10.07,BR,1600357545
Ilulissat,69.22,-51.1,37.4,74,75,11.41,GL,1600357545
Yeppoon,-23.13,150.73,66.2,88,1,6.93,AU,1600357545
Mitsamiouli,-11.38,43.28,77.13,75,21,8.46,KM,1600357545
Guadalupe y Calvo,26.1,-106.97,64.31,66,1,6.04,MX,1600357546
Namatanai,-3.67,152.43,79.92,81,100,4.72,PG,1600357546
Le Mars,42.79,-96.17,55.4,66,1,8.05,US,1600357546
Grand Gaube,-20.01,57.66,72.0,69,40,3.0,MU,1600357547
Oistins,13.07,-59.53,89.6,59,40,10.29,BB,1600357547
Sonoita,31.85,-112.83,86.0,30,0,4.83,MX,1600357547
Stillwater,36.12,-97.06,75.0,73,1,9.17,US,1600357548
Susuman,62.78,148.17,31.64,94,49,2.84,RU,1600357548
Yining,29.04,114.56,62.47,90,100,1.32,CN,1600357548
Jamestown,42.1,-79.24,63.0,87,90,4.7,US,1600356994
Nome,64.5,-165.41,46.4,81,1,9.17,US,1600357549
Veshenskaya,49.63,41.73,63.75,30,27,8.93,RU,1600357549
Chalinze,-6.64,38.35,77.52,61,19,9.93,TZ,1600357549
Monticello,45.31,-93.79,52.0,53,1,6.04,US,1600357549
Nantucket,41.28,-70.1,73.4,73,1,10.29,US,1600357535
Mnogovershinnyy,53.94,139.92,45.27,95,100,15.48,RU,1600357550
Saquena,-4.67,-73.52,96.51,39,55,2.62,PE,1600357550
Mushie,-3.02,16.9,88.47,55,93,1.52,CD,1600357550
Sakakah,29.97,40.21,104.0,7,20,6.93,SA,1600357551
Norsup,-16.07,167.38,77.0,88,40,3.36,VU,1600357551
San Carlos,9.66,-68.58,87.67,62,5,3.85,VE,1600357465
Chifeng,42.27,118.96,52.29,54,0,10.63,CN,1600357553
Lompoc,34.64,-120.46,55.4,100,90,5.82,US,1600357553
Yokadouma,3.52,15.05,73.15,94,100,2.39,CM,1600357553
Banda Aceh,5.56,95.32,81.07,77,81,14.14,ID,1600357553
Chumikan,54.72,135.31,51.26,83,100,17.07,RU,1600357554
Giohar,2.78,45.5,78.35,67,28,14.5,SO,1600357554
Gobabis,-22.45,18.97,82.31,14,0,4.09,NA,1600357554
Palmer,42.16,-72.33,71.01,64,75,3.36,US,1600357554
Bemidji,47.47,-94.88,48.0,65,90,3.4,US,1600357555
Faya,18.39,42.45,80.6,38,40,5.82,SA,1600357555
Garden City,42.33,-83.33,64.4,51,40,10.29,US,1600357476
Nandu,22.85,110.82,77.85,88,88,5.64,CN,1600357555
Mazatlán,23.22,-106.42,82.99,83,90,7.23,MX,1600357344
Alipur Chatha,32.27,73.82,87.48,35,0,4.07,PK,1600357556
Asău,46.43,26.4,84.2,30,67,6.93,RO,1600357556
Normandin,48.83,-72.53,44.6,48,20,13.87,CA,1600357556
Maridi,4.92,29.47,72.82,92,89,5.06,SS,1600357557
Garmsār,35.22,52.34,72.07,24,0,3.2,IR,1600357557
Presidencia Roque Sáenz Peña,-26.79,-60.44,80.8,28,0,3.85,AR,1600357560
Saint-Gabriel,46.3,-73.38,53.01,53,1,10.29,CA,1600357561
Santa Vitória do Palmar,-33.52,-53.37,66.22,62,0,6.02,BR,1600357562
Laguna,38.42,-121.42,66.0,93,90,3.36,US,1600357562
Puerto Escondido,15.85,-97.07,84.2,66,75,2.3,MX,1600357564
Ponta do Sol,32.67,-17.1,72.0,65,100,5.99,PT,1600357564
Amga,60.9,131.96,37.42,85,4,2.24,RU,1600357566
Saint-Paul,-21.01,55.27,70.0,73,90,10.29,RE,1600357567
La Providencia,28.72,-111.58,88.0,72,0,7.0,MX,1600357567
Itarema,-2.92,-39.92,88.02,50,0,19.82,BR,1600357567
Marquette,46.53,-87.63,54.0,61,0,6.31,US,1600357308
Deputatsky,69.3,139.9,39.69,85,100,9.44,RU,1600357568
Vila,42.03,-8.16,77.0,88,90,11.41,PT,1600357568
Pochutla,15.74,-96.47,87.01,70,75,2.19,MX,1600357568
Ambon City,-3.7,128.18,78.66,84,47,6.4,ID,1600357569
Muros,42.78,-9.06,70.0,73,42,11.99,ES,1600357570
Camacha,33.08,-16.33,73.4,69,40,21.92,PT,1600357571
Ak-Dovurak,51.18,90.6,54.1,55,99,3.49,RU,1600357571
Itapirapuã,-15.82,-50.61,103.6,12,61,4.43,BR,1600357571
Awjilah,29.11,21.29,97.16,21,0,9.44,LY,1600357572
Zhangjiakou,40.81,114.88,52.81,49,0,3.04,CN,1600357572
Ayan,56.45,138.17,51.39,66,100,14.12,RU,1600357573
Praia da Vitória,38.73,-27.07,73.4,78,20,14.0,PT,1600357573
Broome,42.25,-75.83,64.0,77,75,5.82,US,1600357573
Kiryat Gat,31.61,34.76,86.0,70,0,11.16,IL,1600357422
São João da Barra,-21.64,-41.05,87.8,40,0,11.41,BR,1600357574
Russell,32.35,-85.2,73.4,94,90,4.7,US,1600357574
San Ramon,37.78,-121.98,66.0,100,90,2.1,US,1600357575
Sambava,-14.27,50.17,72.48,80,16,11.81,MG,1600357575
Tsimmerbude,54.67,20.13,55.4,66,75,17.9,RU,1600357575
Grindavik,63.84,-22.43,48.2,93,75,23.04,IS,1600357575
Iskateley,67.68,53.15,41.47,70,93,12.15,RU,1600357576
Aripuanã,-9.17,-60.63,111.06,14,3,2.24,BR,1600357576
Santiago,-33.46,-70.65,71.01,43,2,3.36,CL,1600357556
Maţāy,28.42,30.78,96.57,23,0,11.52,EG,1600357577
Chateaubelair,13.28,-61.25,84.2,79,75,3.91,VC,1600357578
Payson,40.04,-111.73,64.0,36,20,6.93,US,1600357317
Hofn,64.25,-15.21,53.6,76,75,20.8,IS,1600357578
Cabra,37.47,-4.44,86.0,37,100,5.99,ES,1600357578
Bang Saphan,11.21,99.51,79.84,80,100,10.49,TH,1600357578
Třinec,49.68,18.67,63.0,63,40,13.87,CZ,1600357579
Surgut,61.25,73.42,46.4,100,100,4.47,RU,1600357530
Utinga,-5.82,-35.4,84.2,58,40,13.87,BR,1600357579
Churapcha,62.0,132.43,39.83,74,0,3.38,RU,1600357579
Road Town,18.42,-64.62,86.0,79,40,11.41,VG,1600357462
San Jose,37.34,-121.89,66.99,82,90,4.7,US,1600357554
Caravelas,-17.71,-39.25,81.3,47,0,9.1,BR,1600357580
Chennai,13.09,80.28,84.2,79,75,4.7,IN,1600357386
Yichun,47.7,128.9,46.54,97,42,2.86,CN,1600357580
Abnūb,27.27,31.15,97.41,18,0,7.96,EG,1600357581
Aykhal,66.0,111.5,50.0,61,57,6.71,RU,1600357581
Ankang,32.68,109.02,60.37,65,0,1.43,CN,1600357581
Khorramabad,33.49,48.36,70.66,31,3,1.21,IR,1600357581
Swan River,52.11,-101.27,45.93,50,89,1.59,CA,1600357582
Mayskiy,47.69,40.1,71.6,18,0,11.18,RU,1600357582
Presidente Médici,-11.18,-61.9,105.31,17,82,4.92,BR,1600357582
Gimbi,9.17,35.83,60.04,100,68,3.69,ET,1600357583
Antakya,36.21,36.16,87.8,55,20,17.22,TR,1600357583
Avera,33.19,-82.53,80.6,100,90,8.05,US,1600357583
Grand-Santi,4.25,-54.38,92.97,45,80,4.03,GF,1600357583
Langsa,4.47,97.97,77.45,90,99,1.05,ID,1600357584
Comillas,15.4,120.7,77.0,94,75,4.7,PH,1600357584
Aksu,41.12,80.26,72.68,22,0,4.07,CN,1600357584
Gerāsh,27.67,54.14,93.2,13,0,6.93,IR,1600357585
Seoul,37.57,126.98,66.2,82,90,10.38,KR,1600357536
Aleksin,54.51,37.08,60.8,93,90,6.71,RU,1600357586
Saint Anthony,45.02,-93.22,54.0,53,1,5.82,US,1600357586
Tadine,-21.55,167.88,68.58,90,9,8.57,NC,1600357587
Fairbanks,64.84,-147.72,50.0,75,1,9.17,US,1600357333
Rome,43.21,-75.46,60.8,77,90,5.82,US,1600357564
Saint-Joseph,-21.37,55.62,71.6,60,90,4.7,RE,1600357588
Imbituba,-28.24,-48.67,68.0,94,75,4.7,BR,1600357525
Bud,39.45,-86.18,73.0,68,1,3.36,US,1600357588
Zhicheng,30.3,111.5,66.99,84,73,3.0,CN,1600357467
Redlands,34.06,-117.18,82.0,28,40,2.42,US,1600357589
Chilca,-12.52,-76.74,62.6,77,90,4.7,PE,1600357589
Lebanon,36.21,-86.29,80.6,69,75,11.41,US,1600357359
Pokhara,28.23,83.98,72.28,83,100,1.88,NP,1600357589
Sharan,54.82,54.0,42.84,86,41,4.32,RU,1600357590
Mpika,-11.83,31.45,74.37,28,76,2.46,ZM,1600357590
Tiruchchendur,8.48,78.12,83.05,70,0,18.72,IN,1600357591
Hammerfest,70.66,23.68,46.4,70,75,16.11,NO,1600357340
Coquimbo,-29.95,-71.34,55.4,82,20,11.41,CL,1600357591
Waipawa,-41.41,175.52,57.2,87,99,23.04,NZ,1600357592
Lluta,-16.01,-72.01,66.2,12,0,9.17,PE,1600357592
Turmalina,-17.29,-42.73,94.78,21,0,3.44,BR,1600357592
Zeya,53.75,127.27,50.76,79,100,7.0,RU,1600357594
Magway,20.15,94.92,81.55,84,88,3.76,MM,1600357594
Bokovskaya,49.23,41.83,63.72,30,0,9.46,RU,1600357594
Socorro,31.65,-106.3,75.0,46,40,9.17,US,1600357596
Santarém,-2.44,-54.71,89.6,66,20,10.29,BR,1600357596
Alekseyevsk,57.84,108.35,44.11,77,0,3.38,RU,1600357596
Samarai,-10.62,150.67,78.69,87,100,16.22,PG,1600357596
Soe,-9.86,124.28,63.84,100,71,3.91,ID,1600357597
Mossendjo,-2.95,12.73,81.0,63,81,4.45,CG,1600357597
Malinovskiy,61.2,62.84,48.15,75,100,9.84,RU,1600357597
Cabedelo,-6.98,-34.83,84.2,62,40,17.22,BR,1600357597
Phan Thiet,10.93,108.1,79.57,81,100,9.19,VN,1600357598
Richards Bay,-28.78,32.04,67.46,70,36,7.02,ZA,1600357598
Jiazi,22.88,116.07,80.8,84,54,12.41,CN,1600357598
Pļaviņas,56.62,25.73,49.78,79,99,14.61,LV,1600357599
Siljan,59.29,9.71,63.0,48,99,0.87,NO,1600357599
Dauriya,49.93,116.87,47.16,73,76,9.48,RU,1600357599
Dongsheng,39.82,109.98,56.05,37,0,7.14,CN,1600357600
Cuamba,-14.8,36.54,84.02,29,40,5.66,MZ,1600357600
Arrifes,37.77,-25.7,73.4,46,20,11.41,PT,1600357600
Winnemucca,40.97,-117.74,46.4,33,1,2.08,US,1600357601
Talnakh,69.49,88.4,51.8,71,75,11.18,RU,1600357601
Kristiansund,63.11,7.73,53.6,58,100,8.05,NO,1600357601
Poum,-20.23,164.02,72.0,77,19,12.82,NC,1600357601
Bani Walid,31.76,13.99,89.44,24,0,17.22,LY,1600357602
Níjar,36.97,-2.21,82.4,69,85,6.93,ES,1600357602
Zhigansk,66.77,123.37,39.51,79,0,1.36,RU,1600357602
Suleja,9.18,7.18,84.2,70,75,6.93,NG,1600357602
Miraflores,19.22,-98.81,64.4,63,90,3.36,MX,1600357603
Santiago del Estero,-27.8,-64.26,83.7,24,0,7.61,AR,1600357603
Charlestown,-32.95,151.67,63.0,89,88,1.99,AU,1600357603
Vrangel',42.73,133.08,60.19,92,92,6.42,RU,1600357603
Okha,53.57,142.95,51.94,90,100,19.46,RU,1600357604
Kutum,14.2,24.67,88.25,24,56,11.34,SD,1600357604
Ossora,59.24,163.07,42.94,70,98,7.07,RU,1600357604
Kamenka,51.32,42.77,66.0,35,93,10.71,RU,1600357604
Kasungu,-13.03,33.48,79.88,29,39,8.43,MW,1600357605
Freeport,40.66,-73.58,75.0,64,20,9.17,US,1600357421
Walvis Bay,-22.96,14.51,68.0,45,0,9.17,NA,1600357605
Preobrazheniye,42.9,133.91,59.29,91,94,1.77,RU,1600357605
Albanel,48.88,-72.45,44.6,48,20,13.87,CA,1600357606
Mendoza,-32.89,-68.83,73.4,20,0,5.82,AR,1600357606
Sant Pere de Ribes,41.27,1.77,82.0,75,96,5.99,ES,1600357606
Tulagi,-9.1,160.15,75.2,94,90,6.93,SB,1600357606
